Rank,BIB,Last Name,First Name,Country,VT1_D,VT1_E,VT1_ND,VT1_Bonus,VT1_Score,VT2_D,VT2_E,VT2_ND,VT2_Bonus,VT2_Score,VT_Score
1,299,YULO Carlos Edriel PHI 1 5.600 9.300,,14.900,5.200,9.400,,,14.600,5.200,9.233,,,14.433,14.750Q
2,5.200,,,9.500,5.200,9.033,,,14.233,5.200,9.300,-0.1,,14.400,14.700
4,103,MARINOV Daniel AIN 1 5.200 9.200,,14.400,5.200,8.933,,,14.133,5.200,9.166,-0.1,,14.266,14.266Q
2,5.200,,,9.033,5.200,9.533,-0.1,,14.833,5.200,8.333,,,13.533,14.233
7,249,MINAMI Kazuki JPN 1 4.800 9.400 -0.1 0.1,,14.200,4.800,9.100,,,13.900,5.200,8.666,-0.3,,13.566,14.050Q
2,5.200,9.200,,0.1,5.200,9.066,-0.1,,14.166,4.800,8.900,,,13.700,14.500
10,286,SPONEVIK Sebastian NOR 1 5.200 9.000,,14.200,4.800,8.933,-0.1,,13.633,5.600,8.200,-0.3,,13.500,13.916R2
2,5.200,9.100,,-0.1,5.200,8.833,-0.1,,13.849,5.200,8.666,-0.1,,13.766,14.200
13,143,PENEV Kevin BUL 1 5.000 8.966,,13.966,4.800,8.900,-0.1,,13.600,4.800,9.200,,,13.733,13.783
2,4.800,8.966,,-0.3,4.800,8.900,,,13.716,4.800,8.933,,,13.733,13.466
16,322,SURINTORNTA Tikumporn THA 1 4.800 9.033,,13.833,4.800,8.866,-0.1,,13.566,5.200,8.566,-0.3,,13.666,13.699
2,4.800,,,9.066,4.800,8.966,-0.1,,13.616,4.400,9.166,,,13.566,13.866
19,195,REIMAN Joona FIN 1 4.800 8.900 -0.1,,13.600,4.800,8.833,,,13.633,5.200,8.933,,,13.583,13.616
2,5.200,,,7.833,4.800,8.933,,,13.433,4.800,8.633,-0.3,,13.133,13.033
26,220,ZAVORY Szilard HUN 1 4.800 8.700 -0.1,,13.400,4.400,9.033,,,13.433,4.800,8.633,-0.1,,13.349,13.416
2,4.400,,,8.966,5.200,9.033,,,13.333,4.800,7.933,-0.3,,12.433,13.366
29,300,ALMEIDA Filipe POR 1 4.800 8.833 -0.3,,13.333,4.400,9.033,-0.1,,13.333,4.800,8.800,-0.1,,13.300,13.333
2,5.200,,,7.900,5.200,8.766,-0.1,,13.299,5.200,7.833,-0.3,,12.733,13.100
32,283,SCHMIDT Casimir NED 1 5.200 8.566 -0.1,,13.666,5.200,7.700,,,12.900,4.800,9.100,,,13.250,13.283
2,4.800,,,7.800,4.800,8.000,,,13.250,4.800,9.000,-0.1,,13.700,12.600
35,237,GRASSO Thomas ITA 1 5.200 7.833,,13.033,4.400,8.966,,,13.366,4.800,8.566,,,13.199,13.199
2,4.800,8.533,,-0.3,4.800,8.400,-0.1,,13.083,4.800,8.266,,,13.066,13.033
38,334,KARTIN Emirhan TUR 1 4.800 8.833,,13.633,4.800,7.733,-0.1,,12.433,4.800,8.766,-0.1,,13.033,13.033
2,4.800,7.900,,-0.1,4.400,8.800,-0.1,,13.033,4.400,8.566,,,12.966,12.600
41,267,AIMY Muhammad Sharul MAS 1 4.800 8.800,,13.600,4.800,7.833,-0.3,,12.333,4.400,8.766,,,12.883,12.966
2,4.800,,,7.800,4.800,7.933,-0.3,,12.833,4.400,8.833,,,13.233,12.600
44,350,MIRVALIEV Abdulaziz UZB 1 4.800 8.066,,12.866,4.800,7.900,,,12.700,3.600,8.666,-0.3,,12.766,12.783
2,4.800,8.866,,-0.1,5.200,8.000,-0.1,,12.766,4.800,7.933,-0.3,,12.433,13.566
47,289,FU-ALLEN William NZL 1 4.400 8.966 -0.1,,13.266,3.200,9.000,,,12.200,4.800,8.033,-0.1,,12.683,12.733
2,4.400,8.333,,-0.1,4.800,7.833,-0.1,,12.666,4.400,8.700,-0.3,,12.800,12.633
50,175,KYRIAKOU Neofytos CYP 1 4.800 8.000,,12.800,4.400,8.433,-0.3,,12.533,4.400,8.466,,,12.649,12.666
2,4.800,7.733,,-0.1,4.000,8.800,-0.1,,12.550,4.000,8.700,-0.3,,12.400,12.433
53,342,SUPRUN Bohdan UKR 1 4.800 7.866 -0.1,,12.566,3.600,8.800,-0.1,,12.300,3.600,9.166,,,12.383,12.433
2,3.600,8.500,,-0.1,4.000,7.733,-0.3,,11.249,2.400,8.666,,,11.066,12.000
56,278,KOOPER Immanuel NAM 1 2.400 8.300 -0.1,,10.600,2.400,8.600,,,11.000,0.000,0.000,,,0.000,10.800
138,SOARES,Diogo BRA 1 3.600 9.000 -0.1,,12.500,,,,,,5.200,8.100,,,13.300,DNF
173,ESCOBAR,Diorges CUB 1 4.400 7.733 -0.3,,11.833,,,,,,,,,,,DNF
